property_id,listing_type,property_type,neighborhood,town,bedrooms,bathrooms,parking_spaces,floor_size_sqm,land_size_acres,year_built,floor_number,condition,furnishing,has_swimming_pool,has_gym,has_borehole,has_backup_generator,has_security,has_garden,is_gated_community,distance_to_cbd_km,location_tier,price_ksh,distance_to_school_km,distance_to_hospital_km,crime_index,road_quality
1,For Sale,Apartment,Donholm,Nairobi,3,2,1,186,,1996,11,Excellent,Furnished,0,0,1,0,0,0,0,9.0,affordable,9450000,0.8,1.2,4.2,Mixed
2,For Sale,Apartment,Donholm,Nairobi,3,3,2,142,,1990,3,Excellent,Unfurnished,0,0,0,0,1,0,0,9.0,affordable,10650000,0.8,1.2,4.2,Mixed
3,For Rent,Studio,Donholm,Nairobi,0,1,2,27,,1995,7,Excellent,Furnished,0,0,1,0,1,0,0,9.0,affordable,35000,0.8,1.2,4.2,Mixed
4,For Sale,Apartment,Donholm,Nairobi,4,3,2,136,,2021,2,Fair,Semi-Furnished,0,0,1,0,1,0,0,9.0,affordable,7900000,0.8,1.2,4.2,Mixed
5,For Sale,Apartment,Donholm,Nairobi,2,1,2,108,,2012,10,New,Semi-Furnished,0,0,0,0,1,0,0,9.0,affordable,9000000,0.8,1.2,4.2,Mixed
6,For Rent,Apartment,Donholm,Nairobi,3,3,1,95,,1991,2,Excellent,Furnished,0,0,0,0,1,0,0,9.0,affordable,61000,0.8,1.2,4.2,Mixed
7,For Rent,Apartment,Donholm,Nairobi,3,2,1,84,,1995,11,New,Furnished,0,0,0,0,0,0,0,9.0,affordable,46000,0.8,1.2,4.2,Mixed
8,For Rent,Apartment,Donholm,Nairobi,1,1,2,86,,2004,1,Excellent,Semi-Furnished,0,0,0,0,1,0,0,9.0,affordable,33000,0.8,1.2,4.2,Mixed
9,For Sale,Apartment,Donholm,Nairobi,1,1,2,64,,1993,12,Fair,Semi-Furnished,0,0,1,0,1,0,0,9.0,affordable,7550000,0.8,1.2,4.2,Mixed
10,For Rent,Bungalow,Donholm,Nairobi,3,3,2,142,0.494,2013,0,Excellent,Semi-Furnished,0,0,0,0,1,1,0,9.0,affordable,46000,0.8,1.2,4.2,Mixed
11,For Sale,Apartment,Donholm,Nairobi,4,3,1,250,,2005,11,New,Furnished,0,0,1,0,1,0,0,9.0,affordable,9800000,0.8,1.2,4.2,Mixed
12,For Sale,Apartment,Donholm,Nairobi,3,2,2,125,,2004,13,Excellent,Unfurnished,0,0,1,0,1,0,0,9.0,affordable,9500000,0.8,1.2,4.2,Mixed
13,For Sale,Apartment,Donholm,Nairobi,1,1,1,54,,2004,7,Excellent,Unfurnished,0,0,1,0,0,0,0,9.0,affordable,4200000,0.8,1.2,4.2,Mixed
14,For Sale,Apartment,Donholm,Nairobi,2,2,0,57,,2009,10,Good,Unfurnished,0,0,0,0,1,0,0,9.0,affordable,4500000,0.8,1.2,4.2,Mixed
15,For Sale,Apartment,Donholm,Nairobi,3,2,2,169,,2009,10,Excellent,Semi-Furnished,0,0,0,0,1,0,0,9.0,affordable,4850000,0.8,1.2,4.2,Mixed
16,For Sale,Apartment,Donholm,Nairobi,3,3,1,177,,2009,15,New,Semi-Furnished,0,0,0,0,1,0,0,9.0,affordable,8650000,0.8,1.2,4.2,Mixed
17,For Sale,Apartment,Donholm,Nairobi,2,1,1,107,,2015,15,Excellent,Unfurnished,0,0,1,0,0,0,0,9.0,affordable,6200000,0.8,1.2,4.2,Mixed
18,For Rent,Studio,Donholm,Nairobi,0,1,0,21,,2021,13,New,Unfurnished,0,0,1,0,1,0,0,9.0,affordable,18000,0.8,1.2,4.2,Mixed
19,For Rent,Apartment,Donholm,Nairobi,2,2,1,114,,2007,10,Good,Semi-Furnished,0,0,0,0,1,0,0,9.0,affordable,52000,0.8,1.2,4.2,Mixed
20,For Sale,Apartment,Donholm,Nairobi,3,2,0,204,,1992,12,New,Furnished,0,0,1,0,1,0,0,9.0,affordable,11300000,0.8,1.2,4.2,Mixed
21,For Sale,Apartment,Donholm,Nairobi,3,2,2,101,,2014,1,Good,Unfurnished,0,0,1,0,1,0,0,9.0,affordable,6600000,0.8,1.2,4.2,Mixed
22,For Rent,Apartment,Donholm,Nairobi,2,1,1,109,,2011,8,Excellent,Unfurnished,0,0,0,0,1,0,0,9.0,affordable,45000,0.8,1.2,4.2,Mixed
23,For Rent,Apartment,Donholm,Nairobi,3,2,1,142,,1990,12,Good,Semi-Furnished,0,0,1,0,0,0,0,9.0,affordable,39000,0.8,1.2,4.2,Mixed
24,For Rent,Apartment,Donholm,Nairobi,3,2,1,105,,2002,15,Fair,Unfurnished,0,0,1,0,1,0,0,9.0,affordable,20000,0.8,1.2,4.2,Mixed
25,For Rent,Apartment,Donholm,Nairobi,2,2,2,108,,2014,6,New,Unfurnished,0,0,0,0,1,0,0,9.0,affordable,36000,0.8,1.2,4.2,Mixed
26,For Rent,Apartment,Donholm,Nairobi,1,1,1,69,,2004,8,New,Furnished,0,0,1,0,1,0,0,9.0,affordable,39000,0.8,1.2,4.2,Mixed
27,For Sale,Apartment,Donholm,Nairobi,2,1,2,128,,1994,14,Excellent,Semi-Furnished,0,0,0,0,0,0,0,9.0,affordable,8400000,0.8,1.2,4.2,Mixed
28,For Rent,Apartment,Donholm,Nairobi,1,1,1,52,,1999,13,Excellent,Furnished,0,0,1,0,1,0,0,9.0,affordable,48000,0.8,1.2,4.2,Mixed
29,For Rent,Bungalow,Donholm,Nairobi,5,4,2,253,0.42,2008,0,Good,Semi-Furnished,0,0,1,0,0,1,0,9.0,affordable,46000,0.8,1.2,4.2,Mixed
30,For Sale,Apartment,Donholm,Nairobi,4,3,0,114,,2020,8,Excellent,Semi-Furnished,0,0,0,0,0,0,0,9.0,affordable,1900000,0.8,1.2,4.2,Mixed
31,For Rent,Studio,Donholm,Nairobi,0,1,1,32,,2021,12,New,Unfurnished,0,0,1,0,1,0,0,9.0,affordable,34000,0.8,1.2,4.2,Mixed
32,For Sale,Studio,Donholm,Nairobi,0,1,2,26,,2005,10,Excellent,Unfurnished,0,0,0,0,1,0,0,9.0,affordable,2050000,0.8,1.2,4.2,Mixed
33,For Sale,Studio,Donholm,Nairobi,0,1,2,20,,1998,1,Good,Unfurnished,0,0,0,0,1,0,0,9.0,affordable,7650000,0.8,1.2,4.2,Mixed
34,For Rent,Apartment,Donholm,Nairobi,2,1,2,84,,2010,5,New,Furnished,0,0,0,0,1,0,0,9.0,affordable,54000,0.8,1.2,4.2,Mixed
35,For Sale,Bungalow,Donholm,Nairobi,4,3,2,196,0.491,2020,0,Excellent,Unfurnished,0,0,1,0,1,1,0,9.0,affordable,11400000,0.8,1.2,4.2,Mixed
36,For Rent,Bungalow,Donholm,Nairobi,4,3,1,181,1.452,2014,0,New,Semi-Furnished,0,0,1,0,0,1,0,9.0,affordable,40000,0.8,1.2,4.2,Mixed
37,For Sale,Apartment,Donholm,Nairobi,2,1,1,91,,1991,0,Fair,Unfurnished,0,0,1,0,1,0,0,9.0,affordable,6300000,0.8,1.2,4.2,Mixed
38,For Rent,Apartment,Donholm,Nairobi,3,3,1,109,,2022,12,Good,Semi-Furnished,0,0,1,0,1,0,0,9.0,affordable,42000,0.8,1.2,4.2,Mixed
39,For Sale,Apartment,Donholm,Nairobi,2,2,0,108,,2001,3,Excellent,Furnished,0,0,0,0,1,0,0,9.0,affordable,10750000,0.8,1.2,4.2,Mixed
40,For Rent,Apartment,Donholm,Nairobi,1,1,0,82,,1992,10,Excellent,Unfurnished,0,0,0,0,1,0,0,9.0,affordable,30000,0.8,1.2,4.2,Mixed
41,For Sale,Apartment,Embakasi,Nairobi,2,1,1,52,,2006,5,Excellent,Unfurnished,0,0,1,0,1,0,0,15.0,affordable,2950000,1.2,1.8,4.5,Mixed
42,For Sale,Studio,Embakasi,Nairobi,0,1,2,26,,2009,13,Fair,Unfurnished,0,0,0,0,1,0,0,15.0,affordable,4400000,1.2,1.8,4.5,Mixed
43,For Rent,Apartment,Embakasi,Nairobi,2,1,2,153,,2003,15,Fair,Unfurnished,0,0,1,0,0,0,0,15.0,affordable,44000,1.2,1.8,4.5,Mixed
44,For Sale,Apartment,Embakasi,Nairobi,2,2,1,112,,1995,3,Good,Semi-Furnished,0,0,0,0,1,0,0,15.0,affordable,9950000,1.2,1.8,4.5,Mixed
45,For Sale,Apartment,Embakasi,Nairobi,2,1,1,86,,2017,8,Good,Semi-Furnished,0,0,0,0,1,0,0,15.0,affordable,4800000,1.2,1.8,4.5,Mixed
46,For Rent,Apartment,Embakasi,Nairobi,3,2,1,84,,2015,3,Excellent,Semi-Furnished,0,0,1,0,1,0,0,15.0,affordable,57000,1.2,1.8,4.5,Mixed
47,For Sale,Bungalow,Embakasi,Nairobi,3,2,1,186,0.152,2006,0,Excellent,Furnished,0,0,1,0,1,1,0,15.0,affordable,5950000,1.2,1.8,4.5,Mixed
48,For Sale,Apartment,Embakasi,Nairobi,3,2,1,88,,2011,7,New,Unfurnished,0,0,1,0,1,0,0,15.0,affordable,10200000,1.2,1.8,4.5,Mixed
49,For Rent,Apartment,Embakasi,Nairobi,2,1,1,107,,2005,15,Excellent,Semi-Furnished,0,0,0,0,1,0,0,15.0,affordable,38000,1.2,1.8,4.5,Mixed
50,For Sale,Apartment,Embakasi,Nairobi,1,1,0,57,,2008,1,Excellent,Unfurnished,0,0,0,0,0,0,0,15.0,affordable,6750000,1.2,1.8,4.5,Mixed
51,For Rent,Apartment,Embakasi,Nairobi,1,1,1,41,,2002,14,New,Unfurnished,0,0,1,0,0,0,0,15.0,affordable,30000,1.2,1.8,4.5,Mixed
52,For Sale,Studio,Embakasi,Nairobi,0,1,1,38,,2024,11,Excellent,Semi-Furnished,0,0,0,0,1,0,0,15.0,affordable,5150000,1.2,1.8,4.5,Mixed
53,For Sale,Studio,Embakasi,Nairobi,0,1,1,31,,1991,9,New,Unfurnished,0,0,0,0,1,0,0,15.0,affordable,3350000,1.2,1.8,4.5,Mixed
54,For Sale,Bungalow,Embakasi,Nairobi,4,3,2,186,1.531,1999,0,New,Semi-Furnished,0,0,1,0,1,1,0,15.0,affordable,11450000,1.2,1.8,4.5,Mixed
55,For Rent,Apartment,Embakasi,Nairobi,2,1,0,62,,2005,13,Good,Unfurnished,0,0,0,0,1,0,0,15.0,affordable,30000,1.2,1.8,4.5,Mixed
56,For Rent,Apartment,Embakasi,Nairobi,2,1,1,64,,2016,1,Excellent,Semi-Furnished,0,0,0,0,1,0,0,15.0,affordable,17000,1.2,1.8,4.5,Mixed
57,For Sale,Bungalow,Embakasi,Nairobi,4,3,1,180,0.222,2004,0,Good,Unfurnished,0,0,1,0,1,1,0,15.0,affordable,4950000,1.2,1.8,4.5,Mixed
58,For Rent,Apartment,Embakasi,Nairobi,3,2,2,112,,2016,8,Fair,Semi-Furnished,0,0,0,0,1,0,0,15.0,affordable,42000,1.2,1.8,4.5,Mixed
59,For Rent,Apartment,Embakasi,Nairobi,3,2,0,112,,2003,2,Fair,Furnished,0,0,0,0,1,0,0,15.0,affordable,38000,1.2,1.8,4.5,Mixed
60,For Rent,Apartment,Embakasi,Nairobi,2,1,1,114,,1992,4,New,Furnished,0,0,0,0,1,0,0,15.0,affordable,43000,1.2,1.8,4.5,Mixed
61,For Sale,Apartment,Embakasi,Nairobi,1,1,0,43,,2003,0,New,Semi-Furnished,0,0,0,0,1,0,0,15.0,affordable,6050000,1.2,1.8,4.5,Mixed
62,For Sale,Apartment,Embakasi,Nairobi,3,2,2,148,,1993,3,Good,Unfurnished,0,0,1,0,1,0,0,15.0,affordable,10300000,1.2,1.8,4.5,Mixed
63,For Sale,Apartment,Embakasi,Nairobi,2,2,2,144,,2023,12,Excellent,Furnished,0,0,1,0,1,0,0,15.0,affordable,11850000,1.2,1.8,4.5,Mixed
64,For Sale,Bungalow,Embakasi,Nairobi,4,4,2,161,0.956,2007,0,Fair,Unfurnished,0,0,0,0,1,1,0,15.0,affordable,5250000,1.2,1.8,4.5,Mixed
65,For Sale,Studio,Embakasi,Nairobi,0,1,2,34,,2000,1,Excellent,Unfurnished,0,0,1,0,1,0,0,15.0,affordable,2750000,1.2,1.8,4.5,Mixed
66,For Sale,Apartment,Embakasi,Nairobi,1,1,2,66,,2018,10,New,Furnished,0,0,1,0,1,0,0,15.0,affordable,9000000,1.2,1.8,4.5,Mixed
67,For Rent,Bungalow,Embakasi,Nairobi,4,3,2,162,1.049,2006,0,New,Unfurnished,0,0,1,0,1,1,0,15.0,affordable,54000,1.2,1.8,4.5,Mixed
68,For Sale,Apartment,Embakasi,Nairobi,3,2,1,162,,1995,10,New,Semi-Furnished,0,0,0,0,1,0,0,15.0,affordable,10000000,1.2,1.8,4.5,Mixed
69,For Rent,Apartment,Embakasi,Nairobi,3,2,1,179,,2022,12,New,Unfurnished,0,0,1,0,1,0,0,15.0,affordable,22000,1.2,1.8,4.5,Mixed
70,For Rent,Apartment,Embakasi,Nairobi,1,1,1,78,,2017,1,Excellent,Semi-Furnished,0,0,1,0,0,0,0,15.0,affordable,33000,1.2,1.8,4.5,Mixed
71,For Sale,Apartment,Embakasi,Nairobi,2,1,2,76,,1994,3,Good,Unfurnished,0,0,0,0,0,0,0,15.0,affordable,7200000,1.2,1.8,4.5,Mixed
72,For Sale,Apartment,Embakasi,Nairobi,1,1,1,84,,2004,15,Excellent,Furnished,0,0,0,0,1,0,0,15.0,affordable,3050000,1.2,1.8,4.5,Mixed
73,For Sale,Bungalow,Embakasi,Nairobi,3,3,3,182,0.283,1991,0,New,Semi-Furnished,0,0,0,0,0,1,0,15.0,affordable,4900000,1.2,1.8,4.5,Mixed
