property_id,listing_type,property_type,neighborhood,town,bedrooms,bathrooms,parking_spaces,floor_size_sqm,land_size_acres,year_built,floor_number,condition,furnishing,has_swimming_pool,has_gym,has_borehole,has_backup_generator,has_security,has_garden,is_gated_community,distance_to_cbd_km,location_tier,price_ksh
3,For Rent,Studio,Donholm,Nairobi,0,1,2,27,,1995,7,Excellent,Furnished,0,0,1,0,1,0,0,9.0,affordable,35000
6,For Rent,Apartment,Donholm,Nairobi,3,3,1,95,,1991,2,Excellent,Furnished,0,0,0,0,1,0,0,9.0,affordable,61000
7,For Rent,Apartment,Donholm,Nairobi,3,2,1,84,,1995,11,New,Furnished,0,0,0,0,0,0,0,9.0,affordable,46000
8,For Rent,Apartment,Donholm,Nairobi,1,1,2,86,,2004,1,Excellent,Semi-Furnished,0,0,0,0,1,0,0,9.0,affordable,33000
10,For Rent,Bungalow,Donholm,Nairobi,3,3,2,142,0.494,2013,0,Excellent,Semi-Furnished,0,0,0,0,1,1,0,9.0,affordable,46000
18,For Rent,Studio,Donholm,Nairobi,0,1,0,21,,2021,13,New,Unfurnished,0,0,1,0,1,0,0,9.0,affordable,18000
19,For Rent,Apartment,Donholm,Nairobi,2,2,1,114,,2007,10,Good,Semi-Furnished,0,0,0,0,1,0,0,9.0,affordable,52000
22,For Rent,Apartment,Donholm,Nairobi,2,1,1,109,,2011,8,Excellent,Unfurnished,0,0,0,0,1,0,0,9.0,affordable,45000
23,For Rent,Apartment,Donholm,Nairobi,3,2,1,142,,1990,12,Good,Semi-Furnished,0,0,1,0,0,0,0,9.0,affordable,39000
24,For Rent,Apartment,Donholm,Nairobi,3,2,1,105,,2002,15,Fair,Unfurnished,0,0,1,0,1,0,0,9.0,affordable,20000
25,For Rent,Apartment,Donholm,Nairobi,2,2,2,108,,2014,6,New,Unfurnished,0,0,0,0,1,0,0,9.0,affordable,36000
26,For Rent,Apartment,Donholm,Nairobi,1,1,1,69,,2004,8,New,Furnished,0,0,1,0,1,0,0,9.0,affordable,39000
28,For Rent,Apartment,Donholm,Nairobi,1,1,1,52,,1999,13,Excellent,Furnished,0,0,1,0,1,0,0,9.0,affordable,48000
29,For Rent,Bungalow,Donholm,Nairobi,5,4,2,253,0.42,2008,0,Good,Semi-Furnished,0,0,1,0,0,1,0,9.0,affordable,46000
31,For Rent,Studio,Donholm,Nairobi,0,1,1,32,,2021,12,New,Unfurnished,0,0,1,0,1,0,0,9.0,affordable,34000
34,For Rent,Apartment,Donholm,Nairobi,2,1,2,84,,2010,5,New,Furnished,0,0,0,0,1,0,0,9.0,affordable,54000
36,For Rent,Bungalow,Donholm,Nairobi,4,3,1,181,1.452,2014,0,New,Semi-Furnished,0,0,1,0,0,1,0,9.0,affordable,40000
38,For Rent,Apartment,Donholm,Nairobi,3,3,1,109,,2022,12,Good,Semi-Furnished,0,0,1,0,1,0,0,9.0,affordable,42000
40,For Rent,Apartment,Donholm,Nairobi,1,1,0,82,,1992,10,Excellent,Unfurnished,0,0,0,0,1,0,0,9.0,affordable,30000
43,For Rent,Apartment,Embakasi,Nairobi,2,1,2,153,,2003,15,Fair,Unfurnished,0,0,1,0,0,0,0,15.0,affordable,44000
46,For Rent,Apartment,Embakasi,Nairobi,3,2,1,84,,2015,3,Excellent,Semi-Furnished,0,0,1,0,1,0,0,15.0,affordable,57000
49,For Rent,Apartment,Embakasi,Nairobi,2,1,1,107,,2005,15,Excellent,Semi-Furnished,0,0,0,0,1,0,0,15.0,affordable,38000
51,For Rent,Apartment,Embakasi,Nairobi,1,1,1,41,,2002,14,New,Unfurnished,0,0,1,0,0,0,0,15.0,affordable,30000
55,For Rent,Apartment,Embakasi,Nairobi,2,1,0,62,,2005,13,Good,Unfurnished,0,0,0,0,1,0,0,15.0,affordable,30000
56,For Rent,Apartment,Embakasi,Nairobi,2,1,1,64,,2016,1,Excellent,Semi-Furnished,0,0,0,0,1,0,0,15.0,affordable,17000
58,For Rent,Apartment,Embakasi,Nairobi,3,2,2,112,,2016,8,Fair,Semi-Furnished,0,0,0,0,1,0,0,15.0,affordable,42000
59,For Rent,Apartment,Embakasi,Nairobi,3,2,0,112,,2003,2,Fair,Furnished,0,0,0,0,1,0,0,15.0,affordable,38000
60,For Rent,Apartment,Embakasi,Nairobi,2,1,1,114,,1992,4,New,Furnished,0,0,0,0,1,0,0,15.0,affordable,43000
67,For Rent,Bungalow,Embakasi,Nairobi,4,3,2,162,1.049,2006,0,New,Unfurnished,0,0,1,0,1,1,0,15.0,affordable,54000
69,For Rent,Apartment,Embakasi,Nairobi,3,2,1,179,,2022,12,New,Unfurnished,0,0,1,0,1,0,0,15.0,affordable,22000
70,For Rent,Apartment,Embakasi,Nairobi,1,1,1,78,,2017,1,Excellent,Semi-Furnished,0,0,1,0,0,0,0,15.0,affordable,33000
75,For Rent,Bungalow,Embakasi,Nairobi,5,4,2,284,0.473,2010,0,Excellent,Semi-Furnished,0,0,0,0,1,1,0,15.0,affordable,29000
76,For Rent,Apartment,Embakasi,Nairobi,2,2,2,77,,2010,13,Excellent,Unfurnished,0,0,1,0,1,0,0,15.0,affordable,26000
79,For Rent,Apartment,Embakasi,Nairobi,3,2,0,142,,2014,8,New,Semi-Furnished,0,0,1,0,1,0,0,15.0,affordable,55000
