property_id,listing_type,property_type,neighborhood,town,bedrooms,bathrooms,parking_spaces,floor_size_sqm,land_size_acres,year_built,floor_number,condition,furnishing,has_swimming_pool,has_gym,has_borehole,has_backup_generator,has_security,has_garden,is_gated_community,distance_to_cbd_km,location_tier,price_ksh,distance_to_school_km,distance_to_hospital_km,crime_index,road_quality
1,For Sale,Apartment,Donholm,Nairobi,3,2,1,186,,1996,11,Excellent,Furnished,0,0,1,0,0,0,0,9.0,affordable,9450000,0.8,1.2,4.2,3
2,For Sale,Apartment,Donholm,Nairobi,3,3,2,142,,1990,3,Excellent,Unfurnished,0,0,0,0,1,0,0,9.0,affordable,10650000,0.8,1.2,4.2,3
4,For Sale,Apartment,Donholm,Nairobi,4,3,2,136,,2021,2,Fair,Semi-Furnished,0,0,1,0,1,0,0,9.0,affordable,7900000,0.8,1.2,4.2,3
5,For Sale,Apartment,Donholm,Nairobi,2,1,2,108,,2012,10,New,Semi-Furnished,0,0,0,0,1,0,0,9.0,affordable,9000000,0.8,1.2,4.2,3
9,For Sale,Apartment,Donholm,Nairobi,1,1,2,64,,1993,12,Fair,Semi-Furnished,0,0,1,0,1,0,0,9.0,affordable,7550000,0.8,1.2,4.2,3
11,For Sale,Apartment,Donholm,Nairobi,4,3,1,250,,2005,11,New,Furnished,0,0,1,0,1,0,0,9.0,affordable,9800000,0.8,1.2,4.2,3
12,For Sale,Apartment,Donholm,Nairobi,3,2,2,125,,2004,13,Excellent,Unfurnished,0,0,1,0,1,0,0,9.0,affordable,9500000,0.8,1.2,4.2,3
13,For Sale,Apartment,Donholm,Nairobi,1,1,1,54,,2004,7,Excellent,Unfurnished,0,0,1,0,0,0,0,9.0,affordable,4200000,0.8,1.2,4.2,3
14,For Sale,Apartment,Donholm,Nairobi,2,2,0,57,,2009,10,Good,Unfurnished,0,0,0,0,1,0,0,9.0,affordable,4500000,0.8,1.2,4.2,3
15,For Sale,Apartment,Donholm,Nairobi,3,2,2,169,,2009,10,Excellent,Semi-Furnished,0,0,0,0,1,0,0,9.0,affordable,4850000,0.8,1.2,4.2,3
16,For Sale,Apartment,Donholm,Nairobi,3,3,1,177,,2009,15,New,Semi-Furnished,0,0,0,0,1,0,0,9.0,affordable,8650000,0.8,1.2,4.2,3
17,For Sale,Apartment,Donholm,Nairobi,2,1,1,107,,2015,15,Excellent,Unfurnished,0,0,1,0,0,0,0,9.0,affordable,6200000,0.8,1.2,4.2,3
20,For Sale,Apartment,Donholm,Nairobi,3,2,0,204,,1992,12,New,Furnished,0,0,1,0,1,0,0,9.0,affordable,11300000,0.8,1.2,4.2,3
21,For Sale,Apartment,Donholm,Nairobi,3,2,2,101,,2014,1,Good,Unfurnished,0,0,1,0,1,0,0,9.0,affordable,6600000,0.8,1.2,4.2,3
27,For Sale,Apartment,Donholm,Nairobi,2,1,2,128,,1994,14,Excellent,Semi-Furnished,0,0,0,0,0,0,0,9.0,affordable,8400000,0.8,1.2,4.2,3
30,For Sale,Apartment,Donholm,Nairobi,4,3,0,114,,2020,8,Excellent,Semi-Furnished,0,0,0,0,0,0,0,9.0,affordable,1900000,0.8,1.2,4.2,3
32,For Sale,Studio,Donholm,Nairobi,0,1,2,26,,2005,10,Excellent,Unfurnished,0,0,0,0,1,0,0,9.0,affordable,2050000,0.8,1.2,4.2,3
33,For Sale,Studio,Donholm,Nairobi,0,1,2,20,,1998,1,Good,Unfurnished,0,0,0,0,1,0,0,9.0,affordable,7650000,0.8,1.2,4.2,3
35,For Sale,Bungalow,Donholm,Nairobi,4,3,2,196,0.491,2020,0,Excellent,Unfurnished,0,0,1,0,1,1,0,9.0,affordable,11400000,0.8,1.2,4.2,3
37,For Sale,Apartment,Donholm,Nairobi,2,1,1,91,,1991,0,Fair,Unfurnished,0,0,1,0,1,0,0,9.0,affordable,6300000,0.8,1.2,4.2,3
39,For Sale,Apartment,Donholm,Nairobi,2,2,0,108,,2001,3,Excellent,Furnished,0,0,0,0,1,0,0,9.0,affordable,10750000,0.8,1.2,4.2,3
41,For Sale,Apartment,Embakasi,Nairobi,2,1,1,52,,2006,5,Excellent,Unfurnished,0,0,1,0,1,0,0,15.0,affordable,2950000,1.2,1.8,4.5,3
